9:24:54 PM: Executing task ':Application.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Application.main()
Rune_0 created with Fire:8236, Earth:2745, Water:4900, Dark:99807, Light:15881
Rune_1 created with Fire:7989, Earth:5548, Water:7080, Dark:134270, Light:20617
Rune_2 created with Fire:4068, Earth:4794, Water:6396, Dark:174092, Light:15258
Rune_3 created with Fire:1490, Earth:9384, Water:7510, Dark:210788, Light:18384
Rune_4 created with Fire:6737, Earth:6533, Water:8445, Dark:244153, Light:21715
Rune_5 created with Fire:2334, Earth:7307, Water:1901, Dark:287691, Light:11542
Rune_6 created with Fire:4379, Earth:5911, Water:6728, Dark:325753, Light:17018
Rune_7 created with Fire:2219, Earth:8455, Water:7614, Dark:362545, Light:18288
Rune_8 created with Fire:2212, Earth:2536, Water:5890, Dark:406987, Light:10638
Rune_9 created with Fire:5165, Earth:2853, Water:2795, Dark:451254, Light:10813
Rune_10 created with Fire:5238, Earth:2883, Water:7996, Dark:490217, Light:16117
Rune_11 created with Fire:3210, Earth:5302, Water:6368, Dark:530417, Light:14880
Rune_12 created with Fire:4310, Earth:9174, Water:7149, Dark:564864, Light:20633
Rune_13 created with Fire:2774, Earth:3153, Water:7937, Dark:606080, Light:13864
Rune_14 created with Fire:8003, Earth:10105, Water:6986, Dark:636066, Light:25094
Rune_15 created with Fire:2575, Earth:6815, Water:910, Dark:680846, Light:10300
Rune_16 created with Fire:5526, Earth:1317, Water:7177, Dark:721906, Light:14020
Rune_17 created with Fire:5048, Earth:3432, Water:5930, Dark:762576, Light:14410
Rune_18 created with Fire:5885, Earth:4501, Water:4909, Dark:802361, Light:15295
Rune_19 created with Fire:3454, Earth:5340, Water:7142, Dark:841505, Light:15936
Rune_20 created with Fire:10013, Earth:4404, Water:3917, Dark:878251, Light:18334
Rune_21 created with Fire:4075, Earth:4313, Water:4349, Dark:920594, Light:12737
Rune_22 created with Fire:7187, Earth:2693, Water:4325, Dark:961469, Light:14205
Rune_23 created with Fire:6695, Earth:5112, Water:4044, Dark:1000698, Light:15851
Rune_24 created with Fire:9036, Earth:3814, Water:3457, Dark:1039471, Light:16307
Rune_25 created with Fire:10613, Earth:4219, Water:3974, Dark:1075745, Light:18806
Rune_26 created with Fire:2983, Earth:5217, Water:5765, Dark:1116860, Light:13965
Rune_27 created with Fire:3444, Earth:3982, Water:3580, Dark:1160934, Light:11006
Rune_28 created with Fire:5501, Earth:5625, Water:7032, Dark:1197856, Light:18158
Rune_29 created with Fire:3525, Earth:3443, Water:6268, Dark:1239700, Light:13236
Rune_30 created with Fire:5670, Earth:6701, Water:5228, Dark:1277181, Light:17599
Rune_31 created with Fire:5016, Earth:5259, Water:3450, Dark:1318536, Light:13725
Rune_32 created with Fire:6291, Earth:5780, Water:6771, Dark:1354774, Light:18842
Rune_33 created with Fire:3144, Earth:4144, Water:4514, Dark:1398052, Light:11802
Rune_34 created with Fire:4649, Earth:6603, Water:4270, Dark:1437610, Light:15522
Rune_35 created with Fire:1188, Earth:3117, Water:2133, Dark:1486252, Light:6438
Rune_36 created with Fire:4206, Earth:4584, Water:3774, Dark:1528768, Light:12564
Rune_37 created with Fire:10728, Earth:8088, Water:8598, Dark:1556434, Light:27414
Rune_38 created with Fire:6104, Earth:4056, Water:4251, Dark:1597103, Light:14411
Rune_39 created with Fire:8192, Earth:3648, Water:4101, Dark:1636242, Light:15941
Rune_40 created with Fire:4924, Earth:4136, Water:6033, Dark:1676229, Light:15093
Rune_41 created with Fire:4695, Earth:4885, Water:5524, Dark:1716205, Light:15104
Rune_42 created with Fire:7566, Earth:1881, Water:4289, Dark:1757549, Light:13736
Rune_43 created with Fire:1364, Earth:6023, Water:4292, Dark:1800950, Light:11679
Rune_44 created with Fire:7647, Earth:1236, Water:10908, Dark:1836239, Light:19791
Rune_45 created with Fire:4036, Earth:6329, Water:6059, Dark:1874895, Light:16424
Rune_46 created with Fire:6428, Earth:5570, Water:5239, Dark:1912738, Light:17237
Rune_47 created with Fire:6549, Earth:4806, Water:2349, Dark:1954114, Light:13704
Rune_48 created with Fire:8031, Earth:3196, Water:5984, Dark:1991983, Light:17211
Rune_49 created with Fire:4774, Earth:6690, Water:7336, Dark:2028263, Light:18800
Rune_50 created with Fire:8065, Earth:4861, Water:4654, Dark:2065763, Light:17580
Rune_51 created with Fire:2648, Earth:5549, Water:7728, Dark:2104918, Light:15925
Rune_52 created with Fire:6458, Earth:5876, Water:8388, Dark:2139276, Light:20722
Rune_53 created with Fire:5861, Earth:7259, Water:7222, Dark:2174014, Light:20342
Rune_54 created with Fire:1697, Earth:7381, Water:8279, Dark:2211737, Light:17357
Rune_55 created with Fire:9117, Earth:3195, Water:6171, Dark:2248334, Light:18483
Rune_56 created with Fire:6801, Earth:2802, Water:4149, Dark:2289662, Light:13752
Rune_57 created with Fire:7141, Earth:6174, Water:4903, Dark:2326524, Light:18218
Rune_58 created with Fire:5852, Earth:6433, Water:7368, Dark:2361951, Light:19653
Rune_59 created with Fire:5262, Earth:4022, Water:3304, Dark:2404443, Light:12588
Rune_60 created with Fire:1792, Earth:8055, Water:1837, Dark:2447839, Light:11684
Rune_61 created with Fire:3963, Earth:5958, Water:1604, Dark:2491394, Light:11525
Rune_62 created with Fire:7862, Earth:4220, Water:4240, Dark:2530152, Light:16322
Rune_63 created with Fire:7632, Earth:5251, Water:4466, Dark:2567883, Light:17349
Rune_64 created with Fire:9822, Earth:8626, Water:3768, Dark:2600747, Light:22216
Rune_65 created with Fire:2680, Earth:7420, Water:4024, Dark:2641703, Light:14124
Rune_66 created with Fire:6035, Earth:4654, Water:8622, Dark:2677472, Light:19311
Rune_67 created with Fire:3290, Earth:5310, Water:8876, Dark:2715076, Light:17476
Rune_68 created with Fire:5313, Earth:5730, Water:3937, Dark:2755176, Light:14980
Rune_69 created with Fire:4876, Earth:6661, Water:9099, Dark:2789620, Light:20636
Rune_70 created with Fire:4158, Earth:4889, Water:4138, Dark:2831515, Light:13185
Rune_71 created with Fire:6862, Earth:2578, Water:3123, Dark:2874032, Light:12563
Rune_72 created with Fire:7054, Earth:5262, Water:6844, Dark:2909952, Light:19160
Rune_73 created with Fire:5020, Earth:4762, Water:5362, Dark:2949888, Light:15144
Rune_74 created with Fire:4140, Earth:9143, Water:5026, Dark:2986659, Light:18309
Rune_75 created with Fire:4480, Earth:2536, Water:6416, Dark:3028307, Light:13432
Rune_76 created with Fire:4886, Earth:6792, Water:5618, Dark:3066091, Light:17296
Rune_77 created with Fire:7384, Earth:6937, Water:6038, Dark:3100812, Light:20359
Rune_78 created with Fire:8121, Earth:5528, Water:4314, Dark:3137929, Light:17963
Rune_79 created with Fire:1769, Earth:2080, Water:6678, Dark:3182482, Light:10527
Rune_80 created with Fire:8070, Earth:5756, Water:5915, Dark:3217821, Light:19741
Rune_81 created with Fire:4011, Earth:3862, Water:7863, Dark:3257165, Light:15736
Rune_82 created with Fire:6121, Earth:4928, Water:5201, Dark:3295995, Light:16250
Rune_83 created with Fire:2297, Earth:5032, Water:5846, Dark:3337900, Light:13175
Rune_84 created with Fire:9583, Earth:4982, Water:2568, Dark:3375847, Light:17133
Rune_85 created with Fire:7977, Earth:4793, Water:7123, Dark:3411034, Light:19893
Rune_86 created with Fire:652, Earth:6274, Water:6338, Dark:3452850, Light:13264
Rune_87 created with Fire:5133, Earth:6963, Water:6559, Dark:3489275, Light:18655
Rune_88 created with Fire:8571, Earth:6960, Water:4931, Dark:3523893, Light:20462
Rune_89 created with Fire:3351, Earth:6477, Water:2948, Dark:3566197, Light:12776
Rune_90 created with Fire:6830, Earth:8298, Water:2404, Dark:3603745, Light:17532
Rune_91 created with Fire:5563, Earth:8385, Water:3571, Dark:3641306, Light:17519
Rune_92 created with Fire:3521, Earth:6236, Water:5544, Dark:3681085, Light:15301
Rune_93 created with Fire:9344, Earth:6847, Water:8997, Dark:3710977, Light:25188
Rune_94 created with Fire:3471, Earth:4097, Water:3410, Dark:3755079, Light:10978
Rune_95 created with Fire:6555, Earth:2482, Water:5198, Dark:3795924, Light:14235
Rune_96 created with Fire:2946, Earth:7776, Water:6667, Dark:3833615, Light:17389
Rune_97 created with Fire:2181, Earth:1194, Water:6548, Dark:3878772, Light:9923
Rune_98 created with Fire:6048, Earth:3681, Water:4517, Dark:3919606, Light:14246
Rune_99 created with Fire:5066, Earth:6824, Water:4688, Dark:3958108, Light:16578
Rune_100 created with Fire:5346, Earth:4682, Water:6269, Dark:3996891, Light:16297
Rune_101 created with Fire:4688, Earth:4052, Water:1694, Dark:4041537, Light:10434
Rune_102 created with Fire:6893, Earth:2218, Water:4132, Dark:4083374, Light:13243
Rune_103 created with Fire:3168, Earth:3190, Water:5480, Dark:4126616, Light:11838
Rune_104 created with Fire:4444, Earth:5320, Water:6925, Dark:4165007, Light:16689
Rune_105 created with Fire:8373, Earth:3502, Water:9241, Dark:4198971, Light:21116
Rune_106 created with Fire:5934, Earth:3579, Water:3329, Dark:4241209, Light:12842
Rune_107 created with Fire:8446, Earth:4924, Water:3558, Dark:4279361, Light:16928
Rune_108 created with Fire:5768, Earth:8468, Water:5201, Dark:4315004, Light:19437
Rune_109 created with Fire:7847, Earth:1573, Water:7841, Dark:4352823, Light:17261
Rune_110 created with Fire:6087, Earth:6189, Water:6953, Dark:4388674, Light:19229
Rune_111 created with Fire:6447, Earth:2936, Water:7128, Dark:4427243, Light:16511
Rune_112 created with Fire:3640, Earth:3065, Water:896, Dark:4474722, Light:7601
Rune_113 created with Fire:4662, Earth:7511, Water:8337, Dark:4509292, Light:20510
Rune_114 created with Fire:3934, Earth:5544, Water:2280, Dark:4552614, Light:11758
Rune_115 created with Fire:7498, Earth:4322, Water:4293, Dark:4591581, Light:16113
Rune_116 created with Fire:7548, Earth:7343, Water:986, Dark:4630784, Light:15877
Rune_117 created with Fire:6147, Earth:2922, Water:5199, Dark:4671596, Light:14268
Rune_118 created with Fire:6335, Earth:9952, Water:8356, Dark:4702033, Light:24643
Rune_119 created with Fire:3917, Earth:3353, Water:5430, Dark:4744413, Light:12700
